date,new_cases
2022-01-24,1140580
2022-01-23,240377
2022-01-22,228998
2022-01-21,768686
2022-01-20,765428
2022-01-19,772322
2022-01-18,930124
2022-01-17,978390
2022-01-16,381850
2022-01-15,424435
2022-01-14,839329
2022-01-13,889636
2022-01-12,852324
2022-01-11,798170
2022-01-10,1333640
2022-01-09,454903
2022-01-08,409404
2022-01-07,845556
2022-01-06,793309
2022-01-05,710183
2022-01-04,731360
2022-01-03,954378
2022-01-02,398917
2022-01-01,277373
2021-12-31,453188
2021-12-30,597434
2021-12-29,486894
2021-12-28,401701
2021-12-27,490464
2021-12-26,207451
2021-12-25,118962
2021-12-24,233582
2021-12-23,279179
2021-12-22,242778
2021-12-21,209523
2021-12-20,273669
2021-12-19,100782
2021-12-18,83975
2021-12-17,161258
2021-12-16,160138
2021-12-15,145718
2021-12-14,124731
2021-12-13,192789
2021-12-12,54971
2021-12-11,59941
2021-12-10,134099
2021-12-09,138288
2021-12-08,130109
2021-12-07,126311
2021-12-06,191108
2021-12-05,52072
2021-12-04,62205
2021-12-03,151040
2021-12-02,143511
2021-12-01,132689
2021-11-30,120663
2021-11-29,98182
2021-11-28,53738
2021-11-27,50242
2021-11-26,80645
2021-11-25,71953
2021-11-24,105405
2021-11-23,100810
2021-11-22,153618
2021-11-21,34541
2021-11-20,40476
2021-11-19,113794
2021-11-18,113521
2021-11-17,106022
2021-11-16,96930
2021-11-15,142189
2021-11-14,28946
2021-11-13,48925
2021-11-12,123121
2021-11-11,71558
2021-11-10,90528
2021-11-09,82908
2021-11-08,126991
2021-11-07,26370
2021-11-06,29541
2021-11-05,89167
2021-11-04,88542
2021-11-03,79193
2021-11-02,73612
2021-11-01,119117
2021-10-31,20828
2021-10-30,29799
2021-10-29,87316
2021-10-28,81979
2021-10-27,83704
2021-10-26,102263
2021-10-25,93305
2021-10-24,23868
2021-10-23,31249
2021-10-22,81227
2021-10-21,87517
2021-10-20,76075
2021-10-19,80876
2021-10-18,69992
2021-10-17,49716
2021-10-16,62774
2021-10-15,91085
2021-10-14,96735
2021-10-13,97023
2021-10-12,90452
2021-10-11,74802
2021-10-10,60174
2021-10-09,70610
2021-10-08,107712
2021-10-07,112329
2021-10-06,107448
2021-10-05,104485
2021-10-04,86917
2021-10-03,68906
2021-10-02,82166
2021-10-01,120367
2021-09-30,122516
2021-09-29,116042
2021-09-28,116560
2021-09-27,102486
2021-09-26,77650
2021-09-25,96710
2021-09-24,132876
2021-09-23,135744
2021-09-22,132126
2021-09-21,134750
2021-09-20,92620
2021-09-19,97645
2021-09-18,123914
2021-09-17,157509
2021-09-16,167448
2021-09-15,162977
2021-09-14,162160
2021-09-13,112538
2021-09-12,116827
2021-09-11,154038
2021-09-10,170573
2021-09-09,185094
2021-09-08,169890
2021-09-07,118536
2021-09-06,109435
2021-09-05,124978
2021-09-04,142951
2021-09-03,183138
2021-09-02,182258
2021-09-01,198983
2021-08-31,176665
2021-08-30,133534
2021-08-29,118782
2021-08-28,152102
2021-08-27,182777
2021-08-26,186905
2021-08-25,177712
2021-08-24,163298
2021-08-23,116502
2021-08-22,127526
2021-08-21,143496
2021-08-20,167005
2021-08-19,174839
2021-08-18,168103
2021-08-17,150571
2021-08-16,109408
2021-08-15,111081
2021-08-14,139710
2021-08-13,146506
2021-08-12,151681
2021-08-11,144350
2021-08-10,136317
2021-08-09,93334
2021-08-08,97511
2021-08-07,120445
2021-08-06,125933
2021-08-05,128851
2021-08-04,124090
2021-08-03,110259
2021-08-02,103233
