week,stdate,endate,st_month,month,st_year,year
1,2020-04-23,2020-05-05,4,5,2020,2020
2,2020-05-07,2020-05-12,5,5,2020,2020
3,2020-05-14,2020-05-19,5,5,2020,2020
4,2020-05-21,2020-05-26,5,5,2020,2020
5,2020-05-28,2020-06-02,5,6,2020,2020
6,2020-06-04,2020-06-09,6,6,2020,2020
7,2020-06-11,2020-06-16,6,6,2020,2020
8,2020-06-18,2020-06-23,6,6,2020,2020
9,2020-06-25,2020-06-30,6,6,2020,2020
10,2020-07-02,2020-07-07,7,7,2020,2020
11,2020-07-09,2020-07-14,7,7,2020,2020
12,2020-07-16,2020-07-21,7,7,2020,2020
13,2020-08-19,2020-08-31,8,8,2020,2020
14,2020-09-02,2020-09-14,9,9,2020,2020
15,2020-09-16,2020-09-28,9,9,2020,2020
16,2020-09-30,2020-10-12,9,10,2020,2020
17,2020-10-14,2020-10-26,10,10,2020,2020
18,2020-10-28,2020-11-09,10,11,2020,2020
19,2020-11-11,2020-11-23,11,11,2020,2020
20,2020-11-25,2020-12-07,11,12,2020,2020
21,2020-12-09,2020-12-21,12,12,2020,2020
22,2021-01-06,2021-01-18,1,1,2021,2021
23,2021-01-20,2021-02-01,1,2,2021,2021
24,2021-02-03,2021-02-15,2,2,2021,2021
25,2021-02-17,2021-03-01,2,3,2021,2021
26,2021-03-03,2021-03-15,3,3,2021,2021
27,2021-03-17,2021-03-29,3,3,2021,2021
28,2021-04-14,2021-04-26,4,4,2021,2021
29,2021-04-28,2021-05-10,4,5,2021,2021
30,2021-05-12,2021-05-24,5,5,2021,2021
31,2021-05-26,2021-06-07,5,6,2021,2021
32,2021-06-09,2021-06-21,6,6,2021,2021
33,2021-06-23,2021-07-05,6,7,2021,2021
34,2021-07-21,2021-08-02,7,8,2021,2021
35,2021-08-04,2021-08-16,8,8,2021,2021
36,2021-08-18,2021-08-30,8,8,2021,2021
37,2021-09-01,2021-09-13,9,9,2021,2021
38,2021-09-15,2021-09-27,9,9,2021,2021
39,2021-09-29,2021-10-11,9,10,2021,2021
40,2021-12-01,2021-12-13,12,12,2021,2021
41,2021-12-19,2022-01-10,12,1,2021,2022
42,2022-01-26,2022-02-07,1,2,2022,2022
43,2022-03-02,2022-03-14,3,3,2022,2022
44,2022-03-30,2022-04-11,3,4,2022,2022
45,2022-04-27,2022-05-09,4,5,2022,2022
46,2022-06-01,2022-06-13,6,6,2022,2022
47,2022-06-29,2022-07-11,6,7,2022,2022
48,2022-07-27,2022-08-08,7,8,2022,2022
49,2022-09-14,2022-09-28,9,9,2022,2022
50,2022-10-05,2022-10-17,10,10,2022,2022
51,2022-11-02,2022-11-14,11,11,2022,2022
52,2022-12-09,2022-12-19,12,12,2022,2022
53,2023-01-04,2023-01-16,1,1,2023,2023
54,2023-02-01,2023-02-13,2,2,2023,2023
55,2023-03-01,2023-03-13,3,3,2023,2023
56,2023-03-29,2023-04-10,3,4,2023,2023
57,2023-04-26,2023-05-08,4,5,2023,2023
58,2023-06-07,2023-06-19,6,6,2023,2023
